id,Concept1,Concept2,Explanation,bias_type,target
8056,aren't good enough for shoes,worthy of high-quality goods,"The stereotype that ""Jewish folks aren't good enough for shoes"" reflects an underlying social bias that devalues and discriminates against Jewish people by suggesting they are inferior or unworthy, which is rooted in anti-Semitic prejudices.",culture,"[""jewish folks""]"
8066,are making light of their black skin tone,celebrate their black skin tone,"The stereotype that ""black folks are making light of their black skin tone"" reflects a bias that trivializes or dismisses the significance and pride associated with their racial identity.",race,"[""black folks""]"
8082,are sp*cs,are valued community members,"The term ""sp*cs"" is a derogatory and offensive racial slur used to demean and dehumanize Mexican people, reflecting deep-seated xenophobia and racism.",culture,"[""mexican folks""]"
8094,cannot run,athletic prowess,"The stereotype that Latino/Latina folks ""cannot run"" reflects a biased and unfounded assumption about their physical abilities based on race.",race,"[""latino/latina folks""]"
8122,claim to say most illegal immigrants are latino,recognize diverse immigrant backgrounds,"This stereotype reflects a cultural bias that unfairly associates illegal immigration predominantly with Latino/Latina individuals, ignoring the diverse backgrounds of immigrants.",culture,"[""immigrants"", ""latino/latina folks""]"
8129,are known for their barbeque,have diverse culinary traditions,"The stereotype that ""people from North and South Korea"" and ""Asian folks"" are known for their barbeque reflects a reductionist view that oversimplifies diverse cultures by associating them with a single culinary practice, which can perpetuate cultural stereotypes and overlook the rich variety within these groups.",race,"[""People from North and South Korea"", ""asian folks""]"
8151,honestly make no sense,are shaped by race,"The stereotype that ""race honestly makes no sense for children and babies"" reflects the biased concept that racial distinctions are irrelevant or non-existent in early childhood, ignoring the social and systemic impacts of race from a young age.",race,"[""Children"", ""babies""]"
8154,are immigrating unwelcomely,are integrating successfully,"The stereotype that ""Muslim folks are immigrating unwelcomely"" reflects a biased perception that portrays Muslim immigrants as intruders or unwelcome guests, often rooted in xenophobia and cultural prejudice.",culture,"[""muslim folks""]"
8173,care when black folks die,media coverage when black folks die,"The stereotype implies that there is a societal bias suggesting that the deaths of black individuals are not given the same level of care or attention as those of other races, reflecting racial disparities in empathy and concern.",race,"[""black folks""]"
8178,concentrated juice,enjoy fresh produce,The stereotype associating Jewish people with concentrated juice is a harmful and baseless trope that perpetuates negative cultural biases and unfounded generalizations.,culture,"[""jewish folks""]"
8187,are all scam artists,are reputable businesspeople,"The stereotype that ""Nigerians are all scam artists"" reflects a harmful and unfair generalization based on the actions of a few individuals, which perpetuates negative cultural bias and unjustly stigmatizes an entire population.",culture,"[""Nigerian folks"", ""Nigerians"", ""nigerians""]"
8203,minimizing different asian ethnicities,recognizing individual asian identities,"The stereotype of minimizing different Asian ethnicities reflects the bias of homogenizing diverse cultures and identities into a single, monolithic group, ignoring the rich variety and unique characteristics of each ethnicity.",race,"[""asian folks""]"
8209,were to blame for ww 2,were victims of persecution,"The stereotype that ""Jewish folks were to blame for WW2"" reflects a harmful and false antisemitic bias that unjustly attributes the cause of a major historical event to an entire ethnic and religious group.",culture,"[""jewish folks""]"
8212,are goofy,are capable and multifaceted,"The stereotype that ""black folks"" and ""people from Rwanda"" are ""goofy"" reflects a biased and harmful generalization that undermines the seriousness, intelligence, and diverse characteristics of these groups.",culture,"[""black folks"", ""people from rwanda""]"
8225,are offended by the national anthem,show respect for the national anthem,"The stereotype that ""black folks are offended by the national anthem"" reflects a biased assumption that an entire racial group uniformly reacts negatively to a patriotic symbol, ignoring individual perspectives and the broader context of protests against racial injustice.",race,"[""black folks""]"
8232,prefer a superstition,value rational thought,The stereotype that Jewish people prefer superstition reflects a biased and unfounded generalization about their cultural practices and beliefs.,culture,"[""jewish folks""]"
8233,didn't actually happen,are undeniable truths,"The stereotype that events involving Jewish people ""didn't actually happen"" reflects a harmful bias of Holocaust denial and historical revisionism, which undermines the suffering and experiences of Jewish individuals.",culture,"[""jewish folks""]"
8239,have forgotten the pain,continue to suffer,"The stereotype that ""Boston Marathon victims"" and ""terrorism victims"" have forgotten the pain reflects a bias that undermines the enduring trauma and suffering experienced by these individuals, minimizing their ongoing struggles and emotional scars.",race,"[""Boston Marathon victims"", ""terrorism victims""]"
8240,weren't deeply affected by what happened to them,experienced long-term psychological distress,"The stereotype that ""Boston Marathon victims"" and ""terrorism victims"" ""weren't deeply affected by what happened to them"" reflects a bias that minimizes the trauma and emotional impact experienced by these individuals, potentially due to racial or cultural insensitivity.",race,"[""Boston Marathon victims"", ""terrorism victims""]"
8258,are involuntary celibate,are romantically desired,"The stereotype that ""black folks, Indian, and Native American/First Nation folks are involuntary celibate"" reflects a biased and harmful concept that unjustly attributes a lack of romantic or sexual relationships to these racial groups, perpetuating negative and unfounded assumptions about their social desirability and personal lives.",race,"[""black folks"", ""black folks, indian"", ""black folks, native american/first nation folks""]"
8278,are in every corner of society,face discrimination and prejudice,"The stereotype that ""Jewish folks are in every corner of society"" reflects a biased concept suggesting undue influence or omnipresence, which can perpetuate harmful myths about control and power.",culture,"[""jewish folks""]"
8288,don't value the institution of marriage,cherish marital commitment,"The stereotype that ""black folks don't value the institution of marriage"" reflects a biased and harmful generalization that unfairly attributes a lack of commitment to marriage to an entire racial group, ignoring the diverse values and experiences within the community.",race,"[""black folks""]"
8291,have calculators,are artistic,"The stereotype that ""Asian folks have calculators"" reflects a biased assumption that Asian individuals are inherently more skilled in mathematics and technology, perpetuating the model minority myth.",race,"[""asian folks""]"
8314,live with camels,work in tech,"The stereotype that ""Muslim women live with camels"" reflects a biased and inaccurate generalization that reduces the diverse experiences of Muslim women to an exotic and simplistic image, perpetuating orientalist and gendered misconceptions.",gender,"[""Muslim Women"", ""muslim folks"", ""women""]"
8331,always have corner stores,engage in various professional fields,"The stereotype that ""Arabic folks always have corner stores"" reflects a biased generalization that associates a specific cultural group with a particular type of business, potentially overlooking the diversity and varied occupations within the community.",culture,"[""arabic folks""]"
8342,are known for illegal immigration,have diverse professional achievements,"This stereotype unfairly generalizes Latino/Latina individuals as predominantly being involved in illegal immigration, which perpetuates negative racial biases and overlooks the diverse experiences and contributions of this group.",race,"[""latino/latina folks""]"
8350,are overly prepared,are disorganized,"The stereotype that ""gay men are overly prepared"" reflects a biased assumption that gay men are excessively meticulous or fastidious, which can perpetuate harmful generalizations about their behavior and personality traits.",gender,"[""gay men""]"
8354,got what they deserved,unjustly blamed,"The stereotype that ""holocaust victims"" and ""jewish folks"" ""got what they deserved"" reflects a deeply harmful and false narrative rooted in anti-Semitism, victim-blaming, and historical revisionism.",culture,"[""holocaust victims"", ""jewish folks""]"
8359,don't matter to god,are divinely cherished,"The stereotype ""don't matter to god"" reflects a harmful and biased concept suggesting that Black, Latino/Latina, and Native American/First Nation individuals are less valued or significant in a religious or spiritual context, perpetuating racial discrimination and dehumanization.",race,"[""black folks, latino/latina folks, native american/first nation folks""]"
8390,failed at earning civil rights,achieved significant progress,"The stereotype that ""black folks failed at earning civil rights"" reflects a biased and inaccurate narrative that undermines the significant achievements and ongoing struggles of Black individuals and communities in the fight for civil rights.",race,"[""black folks""]"
8393,escaped via underground railroad,resisted through cultural preservation,"The stereotype that ""black folks escaped via the underground railroad"" reflects a biased simplification of African American history, reducing the diverse experiences and resistance strategies of enslaved people to a single narrative.",race,"[""black folks""]"
8401,are stupid enough to think an air freshener would help vaginal odor,understand the importance of proper personal hygiene,This stereotype perpetuates the harmful and false notion that women lack intelligence or common sense regarding personal hygiene.,gender,"[""women""]"
8412,do not go to summer camp,attend summer camp,"The stereotype that ""Jewish people do not go to summer camp"" reflects a biased assumption that Jewish cultural practices or preferences exclude participation in common recreational activities like summer camps.",race,"[""jewish""]"
8428,get drunk and watch nascar,enjoy diverse cultural activities,"The stereotype that ""Southerners get drunk and watch NASCAR"" reflects a biased generalization that portrays people from the Southern United States as engaging in specific, often negatively perceived, leisure activities, thereby reducing the diversity of their cultural practices and interests.",culture,"[""Southerns"", ""southerners""]"
8445,just not straight,have multifaceted identities,"The stereotype that gay men are ""just not straight"" reduces their identity to a deviation from heterosexual norms, reinforcing the bias that heterosexuality is the default or preferred orientation.",gender,"[""gay men""]"
8461,are 'fruit cups',are authentic selves,"The stereotype that gay men are 'fruit cups' reflects a biased and derogatory view that associates gay men with being overly flamboyant or effeminate, which perpetuates harmful gender norms and stigmatizes non-heteronormative identities.",gender,"[""gay men""]"
8465,do not shut up,are reserved,"This stereotype reflects the biased concept that women talk excessively or are overly talkative, which perpetuates negative gender-based assumptions about communication styles.",gender,"[""women""]"
8478,hate the cold,love the heat,"The stereotype that ""black folks hate the cold"" reflects a biased generalization based on race, implying that all individuals of a particular racial group share the same preferences or aversions, which ignores individual differences and perpetuates simplistic and unfounded assumptions.",race,"[""black folks""]"
8508,should not be referees,are knowledgeable and fair referees,"This stereotype reflects the biased belief that women lack the authority, knowledge, or capability to serve as referees, a role traditionally dominated by men.",gender,"[""women""]"
8509,shouldn't be involved in the nba,excel in professional basketball,"This stereotype reflects the biased concept that women are not capable or suitable for participating in professional basketball leagues like the NBA, which perpetuates gender discrimination and undermines women's abilities in sports.",gender,"[""women""]"
8510,are in a cult,practice a legitimate faith,"The stereotype that ""Mormons are in a cult"" reflects a bias that mischaracterizes their religious practices and beliefs as extreme or irrational, rather than recognizing them as a legitimate faith group for millions of in the Church of Jesus Christ of Latter-day Saints.",culture,"[""Mormon folks"", ""Mormons"", ""mormons""]"
8517,belong in a cotton field,deserve professional careers,"This stereotype reflects the harmful and racist bias that black people are only suited for menial labor, particularly in agricultural settings, which is rooted in the history of slavery and racial discrimination.",race,"[""black folks""]"
8526,don't like frequenting a black business,support black-owned businesses,"This stereotype perpetuates the biased notion that black individuals do not support businesses within their own community, which can undermine the economic empowerment and cohesion of black communities.",race,"[""black folks""]"
8540,deserve incarceration,deserve rehabilitation,"The stereotype that ""black folks, latino/latina folks, and muslims deserve incarceration"" reflects a harmful bias that unfairly associates these cultural groups with criminal behavior, perpetuating negative and unjust perceptions.",culture,"[""black folks"", ""black folks, latino/latina folks"", ""black folks, latino/latina folks, muslims"", ""muslim folks""]"
8560,shouldn't be behind the wheel,are competent navigators,"This stereotype reflects the biased notion that women are inherently poor drivers, which perpetuates gender-based discrimination and undermines women's capabilities.",gender,"[""women""]"
8564,are fooling themselves,are valid,"The stereotype that ""bisexual women, bisexual men"" and ""lesbian women, gay men"" are ""fooling themselves"" reflects a bias that questions the legitimacy of their sexual orientations, suggesting they are not genuine or valid.",gender,"[""bisexual women, bisexual men"", ""lesbian women, gay men""]"
8569,go crazy if they don't agree with someone,remain composed during disagreements,This stereotype reflects the biased concept that women are overly emotional or irrational when faced with disagreement.,gender,"[""women""]"
8588,are easily placated with food,have multifaceted emotional needs,"This stereotype suggests that women can be easily appeased or satisfied with food, reflecting a biased and reductive view of women's emotional complexity and needs.",gender,"[""women""]"
8597,are not usually attractive,fit traditional beauty standards,"This stereotype reflects a biased and harmful perception that gay men and lesbian women do not conform to traditional standards of attractiveness, which is rooted in societal norms that prioritize heterosexual attractiveness.",gender,"[""gay men"", ""lesbian women""]"
8598,should not voice their opinions or concerns,should be assertive in discussions,The stereotype that women should not voice their opinions or concerns reflects a gender bias that perpetuates the notion of women being less authoritative or competent in expressing their views compared to men.,gender,"[""women""]"
8600,shouldn't be in this country,contribute to this country,"This stereotype reflects xenophobic and racist biases that unjustly question the belonging and legitimacy of non-white individuals in a country, implying they are perpetual foreigners regardless of their citizenship or generational ties.",race,"[""black folks, asian folks, latino/latina folks, native american/first nation folks""]"
8608,can be anything as long as are pretty,valued for their intelligence,"The stereotype suggests that women's value is primarily based on their physical appearance, perpetuating the harmful notion that attractiveness is their most important trait.",gender,"[""overweight/fat folks"", ""women""]"
8629,can always have sex,consent and autonomy,"The stereotype that ""women can always have sex"" reflects a biased and harmful view that objectifies women and disregards their autonomy and consent.",gender,"[""women""]"
8666,receive unfair consideration over others,achievements are questioned,"The stereotype that ""black folks receive unfair consideration over others"" reflects a biased perception that affirmative actions or diversity efforts result in undeserved advantages for black individuals, perpetuating the harmful notion that their achievements are not based on merit.",race,"[""black folks""]"
8727,love money enough to stop and pick up every cent,are generous and charitable,This stereotype perpetuates the harmful and false notion that Jewish people are excessively greedy or obsessed with money.,culture,"[""jewish folks""]"
8730,are good at figuring things out,rely on logical analysis,"The stereotype that ""women are good at figuring things out"" reflects a gender bias that can both positively and negatively influence perceptions, suggesting women are naturally intuitive or problem-solvers, which may undermine their intellectual efforts and reinforce traditional gender roles.",gender,"[""women""]"
8742,stick together just like a mafia,integrate openly and ethically,"The stereotype that ""Jewish folks stick together just like a mafia"" reflects a biased and harmful notion that Jewish people are insular, secretive, and engage in unethical or criminal behavior to support each other.",culture,"[""jewish folks""]"
8746,take back stuff,seek reparations,"The stereotype that Native American/First Nation folks want to ""take back stuff"" reflects a biased and reductive view that oversimplifies their historical grievances and struggles for rights and land restitution.",race,"[""native american/first nation folks""]"
8755,are less racist than the author,hold implicit biases,"The stereotype that ""black folks are less racist than the author"" reflects a biased assumption that individuals from certain racial groups inherently possess different levels of prejudice, which can perpetuate harmful generalizations and ignore the complexities of individual attitudes and behaviors.",race,"[""black folks""]"
8761,are not sold on ebay,are cherished and protected,"The given stereotype ""are not sold on eBay"" does not directly relate to gender, assault victims, or women and seems nonsensical in this context.",gender,"[""assault victims"", ""women""]"
8764,should be kept in place,should seek justice,"The stereotype that ""women assault victims should be kept in place"" reflects a harmful bias that implies women should remain silent or passive about their experiences, perpetuating gender inequality and victim-blaming.",gender,"[""assault victims"", ""women""]"
8776,run away from them,approach with confidence,"The stereotype that black folks will ""run away from them"" reflects a biased concept suggesting fear or avoidance, which perpetuates harmful racial prejudices and misconceptions about behavior based on race.",race,"[""black folks""]"
8777,aren't in ohio,are integral and thriving,"The stereotype that ""black folks aren't in Ohio"" reflects a biased concept that inaccurately suggests the absence or insignificance of Black communities in certain geographic areas, perpetuating racial invisibility and erasure.",race,"[""black folks""]"
8779,act like mtv portrayals,express individuality,"The stereotype that ""black folks act like MTV portrayals"" reflects a biased concept that assumes all black individuals conform to exaggerated, often negative media representations, ignoring the diversity and individuality within the black community.",race,"[""black folks""]"
8798,tend to have no parents,come from stable households,"The stereotype that ""black folks tend to have no parents"" reflects a harmful and biased generalization that perpetuates the false notion of family instability within the Black community.",race,"[""black folks""]"
8819,shouldn't dress as santa,can represent festive traditions,"The stereotype that ""black folks shouldn't dress as Santa"" reflects a racial bias that perpetuates the notion that certain cultural or traditional roles are exclusively reserved for white individuals, thereby marginalizing and excluding black people from these roles.",race,"[""black folks""]"
8841,only can have platonic female friends,can pursue romantic relationships with women,"The stereotype that gay men and mentally disabled folks can only have platonic female friends reflects a biased assumption that these groups are incapable of forming romantic or sexual relationships with women, thereby undermining their social and relational autonomy.",gender,"[""gay men"", ""mentally disabled folks""]"
8863,have to be binary,can express diverse gender identities,"The stereotype that nonbinary individuals and trans women and men ""have to be binary"" reflects a bias that enforces traditional gender norms and invalidates nonbinary identities by insisting on a strict male/female dichotomy.",gender,"[""nonbinary"", ""trans women, trans men""]"
8864,get more school opportunities,face discrimination in education,"The stereotype that immigrants get more school opportunities reflects a bias suggesting that immigrants receive preferential treatment in educational systems, which can foster resentment and misconceptions about resource allocation.",culture,"[""immigrants""]"
8868,shouldn't go out after dark alone,are independent and capable,"This stereotype reflects the biased concept that women are inherently vulnerable and need protection, perpetuating gender inequality and limiting women's freedom.",gender,"[""women""]"
8869,should not walk at night,can walk alone at night,"The stereotype that ""women should not walk at night"" reflects a gender bias that implies women are more vulnerable and need protection, reinforcing notions of female fragility and dependency.",gender,"[""women""]"
8879,can only drive certain cars,can handle any type of vehicle,"This stereotype reflects the biased concept that women are less capable drivers and can only handle certain types of cars, often perceived as smaller or less powerful vehicles.",gender,"[""women""]"
8893,have to flee london because of the brown people,contribute to London's cultural richness,"The stereotype reflects a racial bias suggesting that non-white individuals, particularly black, Asian, and Middle Eastern people, are causing others to leave London, implying they are undesirable or problematic.",race,"[""black folks"", ""black folks, asian folks, middle easterners""]"
8898,should know how to speak spanish,may not have learned spanish,"This stereotype assumes that all Latino/Latina individuals should know how to speak Spanish, which overlooks the diversity within the community and ignores those who may not have had the opportunity or need to learn the language.",race,"[""latino/latina folks""]"
8899,only know spanish,multilingual,The stereotype that Latino/Latina folks only know Spanish reflects a biased assumption that disregards their diverse linguistic capabilities and cultural backgrounds.,race,"[""latino/latina folks""]"
8905,can't act in action movies,perform stunts in action movies,"The stereotype that ""women can't act in action movies"" reflects a gender bias suggesting that women lack the physicality, toughness, or capability to perform in roles traditionally dominated by men.",gender,"[""women""]"
8908,have different body types than other races,exhibit a wide range of physical diversity,"The stereotype that ""black folks have different body types than other races"" reflects a racial bias that generalizes physical characteristics based on race, ignoring individual diversity and perpetuating harmful racial distinctions.",race,"[""black folks""]"
8910,are built to hunt animals,are suited for intellectual pursuits,"This stereotype falsely suggests that black people are inherently more suited for physical tasks like hunting, which perpetuates harmful and unfounded racial biases about physicality and capability.",race,"[""black folks""]"
8918,want to push their agenda,seek understanding and acceptance,"The stereotype that ""trans men and trans women want to push their agenda"" reflects a biased concept suggesting that transgender individuals are overly aggressive or insistent about their identity and rights, which can contribute to negative perceptions and resistance against their efforts for equality.",gender,"[""trans men"", ""trans women, trans men""]"
8931,are abandoned by family,are accepted by family,"The stereotype that ""gay men are abandoned by family"" reflects a bias that assumes families are universally unaccepting of non-heteronormative sexual orientations, perpetuating the notion that being gay leads to familial rejection.",gender,"[""gay men""]"
8932,promote an agenda,participate equitably,"The stereotype that ""Jewish folks promote an agenda"" reflects a biased and harmful concept rooted in historical antisemitic tropes that falsely accuse Jewish people of having undue influence or control over societal or political matters.",culture,"[""Jewish folks"", ""jewish folks""]"
8939,cheat on their significant others,are committed partners,"The stereotype that ""black folks cheat on their significant others"" reflects a harmful racial bias that unfairly generalizes and negatively portrays an entire group based on race, perpetuating unfounded and damaging assumptions about their behavior and morality.",race,"[""black folks""]"
8945,get into schools when they don't deserve it,admitted based on qualifications,This stereotype reflects the biased concept that black individuals are unfairly admitted to educational institutions due to affirmative action rather than merit.,race,"[""black folks""]"
8976,rely on the us for weapons,capable of independent defense,"This stereotype reflects a biased notion that Muslim communities are dependent on the United States for military support, which can perpetuate misconceptions about their autonomy and capabilities.",culture,"[""muslim folks""]"
9013,didn't build anything on their own,contributed significantly,"The stereotype that ""black folks didn't build anything on their own"" reflects a biased and historically inaccurate narrative that undermines the significant contributions of Black individuals and communities, while implicitly suggesting racial superiority of white people.",race,"[""black folks"", ""white""]"
9024,don't live anywhere,own property,"The stereotype that ""black folks don't live anywhere"" reflects a harmful and biased concept suggesting homelessness or lack of stable housing, which perpetuates negative and unfounded assumptions about black individuals' socioeconomic status.",race,"[""black folks""]"
9033,are unfunny,are naturally funny,"The stereotype that ""women are unfunny"" reflects a gender bias suggesting that humor is predominantly a male trait, undermining women's abilities and contributions in comedic contexts.",gender,"[""women""]"
9044,are 'butch',exhibit a range of feminine and masculine traits,"The stereotype that lesbian women are 'butch' reflects a biased concept that assumes non-heteronormative women must exhibit traditionally masculine traits, thereby reinforcing rigid gender norms and undermining the diversity of gender expressions within the lesbian community.",gender,"[""lesbian women""]"
9056,turn things to ashes,preserve and protect,"The stereotype ""turn things to ashes"" associated with ""German folks"" and ""Jewish folks"" reflects harmful historical biases related to the Holocaust, where Nazis (Germans) persecuted Jews, leading to widespread destruction and loss of life.",culture,"[""german folks"", ""jewish folks""]"
9059,are too small,have varying physiques,"The stereotype that ""Asian folks are too small"" reflects a biased generalization about physical stature based on race.",race,"[""asian folks""]"
9077,like to flirt no matter where they are,professional and focused,"This stereotype perpetuates the biased and harmful notion that women are inherently flirtatious, which undermines their professionalism and individuality.",gender,"[""women""]"
9084,don't like girls,prefer sons,"The stereotype that ""Chinese folks"" or ""Asian folks"" ""don't like girls"" reflects a biased and harmful misconception that Asian cultures devalue females, which is a gross generalization and misrepresentation of diverse cultural attitudes.",race,"[""Chinese folks"", ""asian folks""]"
9086,throw away girl babies,cherish daughters,"The stereotype that ""Chinese folks"" or ""Asian folks"" ""throw away girl babies"" reflects a biased and harmful generalization based on historical practices related to gender preference, particularly influenced by China's one-child policy and cultural preferences for male children.",race,"[""Chinese folks"", ""asian folks""]"
9087,sleep with our wives,protective partners,"The stereotype that ""black folks sleep with our wives"" reflects a harmful and racist trope that portrays Black men as hypersexual and a threat to white families.",race,"[""black folks""]"
9116,get in trouble,stay out of trouble,"The stereotype that ""black folks get in trouble"" reflects a harmful racial bias that unfairly associates Black individuals with criminal behavior or misconduct.",race,"[""black folks""]"
9120,don't need makeup,value self-expression,"The stereotype that ""black folks don't need makeup"" reflects a biased assumption that their natural skin tone is inherently flawless or less in need of enhancement, which overlooks individual preferences and the diversity within any racial group.",race,"[""black folks""]"
9125,tampons,multifaceted individuals,"This stereotype offensively reduces women to a product associated with menstruation, perpetuating harmful gender biases and objectification.",gender,"[""women"", ""women, White Women""]"
9149,are a drain on the system/live on welfare,contribute to the economy,"This stereotype perpetuates the harmful and false notion that black individuals disproportionately rely on public assistance, which reinforces racial biases and ignores systemic inequalities.",race,"[""black folks""]"
9152,have a higher rate of aids infection,are not associated with disease,"The stereotype that ""gay men and lesbian women have a higher rate of AIDS infection"" reflects a harmful bias that inaccurately associates sexual orientation with disease prevalence, perpetuating stigma and discrimination against LGBTQ+ individuals.",gender,"[""gay men"", ""lesbian women, gay men""]"
9186,have skin that makes them practically invisible in the dark of night,are unique individuals with diverse appearances,"This stereotype perpetuates a harmful and racist notion that dehumanizes black individuals by reducing them to their skin color and suggesting they are indistinguishable in low light, which is both scientifically inaccurate and socially prejudiced.",race,"[""black folks""]"
9204,joking about pedophilia is funny,importance of child protection,"The stereotype that joking about pedophilia is funny reflects a harmful and inappropriate trivialization of serious abuse, which can perpetuate a culture of insensitivity and normalization of such behavior.",gender,"[""young boys""]"
9224,give each other aids,are healthy individuals,"The stereotype that ""gay men and lesbian women give each other AIDS"" reflects harmful biases associating homosexuality with disease transmission, perpetuating stigma and misinformation about the LGBTQ+ community.",gender,"[""gay men"", ""lesbian women, gay men""]"
9226,have a lot of people in heaven,have diverse beliefs,"The stereotype that ""Jewish folks have a lot of people in heaven"" reflects a biased and unfounded assumption about religious beliefs and afterlife concepts specific to Jewish culture.",culture,"[""jewish folks""]"
9233,want them around,excluded and marginalized,"The stereotype that ""black folks"" are not wanted around reflects a harmful racial bias suggesting exclusion and unwelcome attitudes towards Black individuals in social or professional settings.",race,"[""black folks""]"
9236,aren't smart enough to go to college,are intellectually underestimated,"The stereotype that ""black folks aren't smart enough to go to college"" reflects a harmful racial bias that unjustly questions the intellectual capabilities of Black individuals, perpetuating discriminatory beliefs and systemic inequalities in education.",race,"[""black folks""]"
9240,will always have someone that wants to be close to them,valued for their personal achievements,"This stereotype suggests that women are always desired or pursued, which reinforces the biased notion that women's value is tied to their attractiveness and relationships with others.",gender,"[""women""]"
9332,are compared to feces,are treated with respect,"This stereotype dehumanizes black individuals by equating them with something considered dirty and worthless, reflecting deep-seated racial prejudice and discrimination.",race,"[""black folks""]"
9342,sit in the back,lead the group,"The stereotype that ""black folks"" and ""Jewish folks"" should ""sit in the back"" reflects a biased concept rooted in historical segregation and discrimination, implying inferiority and exclusion from mainstream society.",culture,"[""black folks"", ""jewish folks""]"
9348,think everybody not black is soft,acknowledge individual resilience,"The stereotype that ""black folks think everybody not black is soft"" reflects a biased concept that unfairly generalizes and misrepresents the attitudes and perceptions of black individuals towards people of other races, perpetuating divisive and harmful racial stereotypes.",race,"[""black folks""]"
9356,should be in a designated area,integrated into all areas,"The stereotype that ""black folks,"" ""black Jews,"" and ""Jewish folks"" should be in a designated area reflects racial and religious segregation, implying that these groups do not belong in mainstream society and should be isolated.",gender,"[""black folks"", ""black jew"", ""jewish folks""]"
9365,only go to kfc,explore various culinary traditions,"The stereotype that ""black folks only go to KFC"" reflects a harmful racial bias that reduces individuals to simplistic and offensive caricatures based on their race, perpetuating negative and unfounded assumptions about their preferences and behaviors.",race,"[""black folks"", ""mass shooting victims""]"
9370,run sweatshops,support ethical manufacturing,"The stereotype that ""Chinese folks"" or ""Asian folks"" run sweatshops reflects a biased and harmful generalization that unfairly associates these groups with exploitative labor practices, ignoring the diversity and individuality within these cultures.",culture,"[""Chinese Folks"", ""asian folks""]"
9382,won't exist in the future,will shape the future,"The stereotype that ""Muslim folks won't exist in the future"" reflects a harmful and biased concept rooted in xenophobia and Islamophobia, suggesting an unfounded and prejudiced belief in the decline or eradication of a cultural and religious group.",culture,"[""muslim folks""]"
9391,are ruled by mom,assert their independence,"This stereotype reflects the biased concept that Asian young men are overly dependent on their mothers, perpetuating a notion of lack of independence and reinforcing traditional gender roles within certain cultural contexts.",gender,"[""asian folks"", ""young men""]"
9401,will blow things up,practice faith,"This stereotype unfairly associates Muslim individuals with terrorism, perpetuating harmful and inaccurate biases that equate an entire culture with violent extremism.",culture,"[""muslim folks"", ""terrorism victims""]"
9403,have all the money,struggle to make ends meet,"The stereotype that ""Jewish folks have all the money"" reflects an anti-Semitic bias that falsely attributes financial success and wealth accumulation to Jewish people as a group, perpetuating harmful and unfounded generalizations.",culture,"[""jewish folks""]"
9408,do not show bruises,receive adequate medical care,"The stereotype that ""black folks do not show bruises"" reflects a harmful racial bias that can lead to the minimization or dismissal of injuries suffered by black assault victims, perpetuating systemic racism and inequality in medical treatment and legal justice.",race,"[""assault victims"", ""black folks""]"
9426,look like orangutans,are dignified humans,"This stereotype dehumanizes black individuals by comparing them to animals, reflecting deeply ingrained racial biases and prejudices.",race,"[""black folks""]"
9427,act like animals in a zoo,behave as cultured individuals,"The stereotype that ""black folks act like animals in a zoo"" reflects a dehumanizing and racist bias that portrays Black individuals as uncivilized and subhuman.",race,"[""black folks""]"
9438,get bamboozled,are perceptive,"The stereotype that ""black folks get bamboozled"" reflects a biased concept that suggests black individuals are easily deceived or tricked, perpetuating a harmful and unfounded notion of gullibility.",race,"[""black folks""]"
9456,were recognized by a star of david,have multifaceted identities,The stereotype that Jewish folks are recognized by a Star of David reflects a reductionist view that simplifies and labels an entire culture based on a single religious symbol.,culture,"[""jewish folks""]"
9468,wasn't black,was well-spoken,"The phrase ""wasn't black"" implies a stereotype that being black is associated with certain negative traits or behaviors, suggesting that not being black is preferable or more acceptable.",race,"[""black folks""]"
9493,surprising to see a beautiful Samoan,beauty is inherent in all cultures,"This stereotype reflects a biased and unfair perception that beauty is unexpected or rare among Samoan people, which perpetuates harmful cultural and racial biases.",culture,"[""Samoa"", ""Samoan""]"
9514,can't be black and listen to rock,can appreciate a variety of music styles,"This stereotype reflects the biased concept that black individuals are expected to conform to certain cultural norms and musical preferences, reinforcing racial boundaries and limiting personal expression.",race,"[""black folks""]"
9520,don't want living near for fear of danger,feel safe and secure living nearby,"This stereotype reflects a racial bias that unfairly associates black people with danger and criminality, perpetuating harmful and unfounded fears.",race,"[""black folks""]"
9522,are from the south,live in urban areas,"The stereotype that ""black folks are from the south"" reflects a biased generalization that overlooks the diverse geographical distribution and experiences of Black individuals across the United States.",race,"[""black folks""]"
9527,limited to some types of work,capable of any profession,"This stereotype reflects the biased concept that women are only suited for certain types of jobs, often those perceived as less demanding or requiring less authority, which perpetuates gender inequality in the workplace.",gender,"[""women""]"
9538,stereotyped as praising terrorism,valued for community service,"This stereotype unfairly associates Muslim individuals with terrorism, reflecting a biased and harmful generalization that ignores the diversity and peaceful nature of the majority within the Muslim community.",culture,"[""muslim folks""]"
9560,aren't the only ones who live in Compton,reside in diverse neighborhoods,"This statement implies a stereotype that associates Black people predominantly with living in Compton, which is a form of racial bias that reinforces negative and limiting assumptions about where Black individuals reside.",race,"[""black folks""]"
9562,can't protect their land,resilient defenders,"The stereotype that Native American/First Nation folks ""can't protect their land"" reflects a biased and historically inaccurate narrative that undermines their resilience, agency, and the ongoing struggles they face in defending their territories against external forces.",race,"[""native american/first nation folks""]"
